BRVM — Historique cours étendu
==================================================
Généré le 2026-05-19

Tickers avec données : 47/47
Total points         : 32,325

Ticker     Points         Début           Fin
----------------------------------------------
  ABJC        486    2023-01-02    2024-12-31
  BICB        257    2025-04-28    2026-05-18
  BICC        821    2023-01-02    2026-05-18
  BNBC        498    2023-01-02    2025-04-28
  BOAB        820    2023-01-02    2026-05-18
  BOABF       820    2023-01-02    2026-05-18
  BOAC        820    2023-01-02    2026-05-18
  BOAM        820    2023-01-02    2026-05-18
  BOAN        820    2023-01-02    2026-05-18
  BOAS        820    2023-01-02    2026-05-18
  CABC        820    2023-01-02    2026-05-18
  CBIBF       820    2023-01-02    2026-05-18
  CFAC        654    2023-01-02    2025-09-19
  CIEC        820    2023-01-02    2026-05-18
  ECOC        820    2023-01-02    2026-05-18
  ETIT        822    2023-01-02    2026-05-18
  FTSC        820    2023-01-02    2026-05-18
  LNBB         12    2024-12-13    2024-12-31
  NEIC        714    2023-01-02    2025-12-24
  NSBC        820    2023-01-02    2026-05-18
  NTLC        734    2023-01-02    2026-05-18
  ONTBF       486    2023-01-02    2024-12-31
  ORAC        820    2023-01-02    2026-05-18
  ORGT        820    2023-01-02    2026-05-18
  PALC        486    2023-01-02    2024-12-31
  PRSC        486    2023-01-02    2024-12-31
  SAFC        822    2023-01-02    2026-05-18
  SCRC        592    2023-01-02    2025-12-03
  SDCC        820    2023-01-02    2026-05-18
  SDSC        820    2023-01-02    2026-05-18
  SEMC        822    2023-01-02    2026-05-18
  SGBC        822    2023-01-02    2026-05-18
  SHEC        585    2023-01-02    2025-07-22
  SIBC        820    2023-01-02    2026-05-18
  SICC        486    2023-01-02    2024-12-31
  SIVC        822    2023-01-02    2026-05-18
  SLBC        808    2023-01-02    2026-05-18
  SMBC        567    2023-01-02    2026-05-18
  SNTS        821    2023-01-02    2026-05-18
  SOGC        486    2023-01-02    2024-12-31
  SPHC        486    2023-01-02    2024-12-31
  STAC        821    2023-01-02    2026-05-18
  STBC        733    2023-01-02    2026-05-18
  TTLC        486    2023-01-02    2024-12-31
  TTLS        486    2023-01-02    2024-12-31
  UNLC        642    2023-01-02    2026-05-18
  UNXC        642    2023-01-02    2025-09-17

Tickers < 30 points (1) :
  LNBB
